514-78-8690,3709941476
464-51-1161,1410183412
582-68-6155,8700723381
251-40-3332,5531153545
272-16-8160,1410183412
334-78-2020,8700723381
538-17-9334,3164484781
555-95-2139,8578277273
148-85-7813,2069560228
894-22-1150,5605417309
639-68-4271,2119580879
743-07-5000,5605417309
703-39-7660,8553816617
142-22-3080,3964983228
330-86-4939,6998877236
351-63-9869,5586660682
791-11-1532,2995724584
817-73-8948,6812348098
443-57-2883,6422150023
817-73-8948,4316541723
716-26-6186,7754706547
186-10-4759,8387463113
308-74-2096,8041242865
159-45-3909,1389706122
368-10-3270,3363359781
137-89-4289,6105428127
368-10-3270,4017561917
582-94-9059,9549982219
899-29-1181,4549297577
524-67-4021,8244067015
737-78-0004,9370114944
430-58-7771,8726347823
711-14-7662,2189724587
751-14-4762,5840458758
113-62-5356,5159228095
112-02-1034,7665057959
260-23-0109,3287681434
229-37-7359,2387623678
222-71-5516,4389143943
576-64-5768,7414924226
572-84-0118,7419080647
670-32-5643,9317052567
757-08-6020,1616493028
531-68-1661,7091541660
439-11-9048,5381119533
407-26-9012,5661265131
238-94-5119,1195290001
407-26-9012,2962345685
