514-78-8690,10022943
464-51-1161,10058301
582-68-6155,10077221
251-40-3332,10041075
272-16-8160,10077221
334-78-2020,10041075
538-17-9334,10033150
555-95-2139,10016403
148-85-7813,10079400
894-22-1150,10033150
639-68-4271,10016403
743-07-5000,10079400
703-39-7660,10021504
142-22-3080,10064786
716-26-6186,10046807
186-10-4759,10081473
308-74-2096,10081473
582-94-9059,10037740
899-29-1181,10069292
524-67-4021,10023941
737-78-0004,10067342
430-58-7771,10077777
751-14-4762,10025846
113-62-5356,10025846
260-23-0109,10056823
229-37-7359,10098765
576-64-5768,10038048
572-84-0118,10024438
670-32-5643,10042837
757-08-6020,10097509
531-68-1661,10038048
439-11-9048,10024438
407-26-9012,10042837
238-94-5119,10097509
